MODEL,DATASET,SAMPLE,LABELS,ISROAD,CLASS,PRECISION,RECALL,F1SCORE,KAPPA,TRAINTIME,PREDICTTIME,FSELECTOR,NFEATURES
XGB,1,3877325,1,False,1,0.830315454,0.605665393,0.700417888,0.770931198,726.6678085,3.78400135,None,
XGB,1,3877325,1,False,2,0.979189846,0.993220358,0.9861552,0.770931198,726.6678085,3.78400135,None,
XGB,1,3877325,1,False,3,0.965782547,0.928075751,0.946553777,0.770931198,726.6678085,3.78400135,None,
XGB,1,3877325,1,False,1,0.831045566,0.608545163,0.702600745,0.772328788,668.1732626,3.387001038,None,
XGB,1,3877325,1,False,2,0.979329967,0.993224502,0.986228298,0.772328788,668.1732626,3.387001038,None,
XGB,1,3877325,1,False,3,0.965512587,0.927816331,0.946289192,0.772328788,668.1732626,3.387001038,None,
XGB,1,3877325,1,False,1,0.831338535,0.60776984,0.70218824,0.77182898,673.7612031,3.382000685,None,
XGB,1,3877325,1,False,2,0.979269009,0.993243841,0.98620692,0.77182898,673.7612031,3.382000685,None,
XGB,1,3877325,1,False,3,0.965405405,0.92664894,0.945630233,0.77182898,673.7612031,3.382000685,None,
XGB,1,3877325,1,False,1,0.832141912,0.609209725,0.703435487,0.772833896,669.7736003,3.377079725,None,
XGB,1,3877325,1,False,2,0.979349486,0.993265942,0.986258625,0.772833896,669.7736003,3.377079725,None,
XGB,1,3877325,1,False,3,0.965759438,0.9274272,0.946205254,0.772833896,669.7736003,3.377079725,None,
RF,1,3877325,1,False,1,0.721319152,0.597164535,0.653396352,0.728369595,6268.041561,32.76999927,None,
RF,1,3877325,1,False,2,0.978605884,0.987269523,0.982918613,0.728369595,6268.041561,32.76999927,None,
RF,1,3877325,1,False,3,0.932812295,0.92113626,0.92693751,0.728369595,6268.041561,32.76999927,None,
SGD,1,3877325,1,False,1,0.603941487,0.411557845,0.489526382,0.604108013,32.25199652,0.208000422,None,
SGD,1,3877325,1,False,2,0.969460922,0.984053751,0.976702832,0.604108013,32.25199652,0.208000422,None,
SGD,1,3877325,1,False,3,0.834518907,0.867371425,0.850628081,0.604108013,32.25199652,0.208000422,None,
